CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022026967,Angle,Philadelphia,front bumper/headlight,1C3CDZCB1DNA00000,DODGE,Avenger,2013
2022026982,Angle,Philadelphia,rear bumper,KL1TG6DE4BBA00000,CHEVROLET,Aveo,2011
2022027008,Angle,Delaware,front bumper,2C4RC1BG4CRA00000,CHRYSLER,Town and Country,2012
2022027012,Sideswipe (same dir.),Montgomery,front quarter panel/side mirror,JM1BM1U74F1A00000,MAZDA,Mazda3,2015
2022027043,Angle,Philadelphia,rear bumper/tail light,1G1FF1R77M0A00000,CHEVROLET,Camaro,2021
2022027047,Rear-end,Montgomery,front bumper,58AGZ1B13LUA00000,LEXUS,ES,2020
2022027077,Rear-end,Montgomery,rear bumper,4T3BA3BB7AUA00000,TOYOTA,Venza,2010
2022027147,Hit pedestrian,Delaware,rear bumper/tail light,3N1CN7AP9HKA00000,NISSAN,Versa,2017
2022027172,Angle,Montgomery,front quarter panel/side mirror,2G11Z5SAXK9A00000,CHEVROLET,Impala,2019
2022027267,Angle,Montgomery,front bumper/headlight,2LMPJ8KP2LBA00000,LINCOLN,Nautilus,2020
2022027274,Rear-end,Chester,rear bumper,1N6AD0EV8BCA00000,NISSAN,Frontier,2011
2022027274,Rear-end,Chester,rear bumper,1N6AD0EV8BCA00000,JEEP,Renegade,2016
2022027274,Rear-end,Chester,rear bumper,1N6AD0EV8BCA00000,HONDA,CR-V,2010
2022027274,Rear-end,Chester,front bumper,ZACCJBCT7GPA00000,NISSAN,Frontier,2011
2022027274,Rear-end,Chester,front bumper,ZACCJBCT7GPA00000,JEEP,Renegade,2016
2022027274,Rear-end,Chester,front bumper,ZACCJBCT7GPA00000,HONDA,CR-V,2010
2022027274,Rear-end,Chester,rear bumper,5J6RE4H79ALA00000,NISSAN,Frontier,2011
2022027274,Rear-end,Chester,rear bumper,5J6RE4H79ALA00000,JEEP,Renegade,2016
2022027274,Rear-end,Chester,rear bumper,5J6RE4H79ALA00000,HONDA,CR-V,2010
2022027292,Rear-end,Montgomery,rear bumper,JTEBK3EH2A2A00000,TOYOTA,Highlander,2010
2022027292,Rear-end,Montgomery,rear bumper,JTEBK3EH2A2A00000,GENESIS,G80,2019
2022027292,Rear-end,Montgomery,front bumper,KMTFN4JE1KUA00000,TOYOTA,Highlander,2010
2022027292,Rear-end,Montgomery,front bumper,KMTFN4JE1KUA00000,GENESIS,G80,2019
2022027314,Rear-end,Philadelphia,rear bumper,1N4AA6AP5JCA00000,NISSAN,Maxima,2018
2022027314,Rear-end,Philadelphia,rear bumper,1N4AA6AP5JCA00000,HYUNDAI,Sonata,2018
2022027314,Rear-end,Philadelphia,rear bumper,1N4AA6AP5JCA00000,CADILLAC,CT4,2021
2022027314,Rear-end,Philadelphia,rear bumper,5NPE34AFXJHA00000,NISSAN,Maxima,2018
2022027314,Rear-end,Philadelphia,rear bumper,5NPE34AFXJHA00000,HYUNDAI,Sonata,2018
2022027314,Rear-end,Philadelphia,rear bumper,5NPE34AFXJHA00000,CADILLAC,CT4,2021
2022027314,Rear-end,Philadelphia,rear bumper,1G6DH5RL1M0A00000,NISSAN,Maxima,2018
2022027314,Rear-end,Philadelphia,rear bumper,1G6DH5RL1M0A00000,HYUNDAI,Sonata,2018
2022027314,Rear-end,Philadelphia,rear bumper,1G6DH5RL1M0A00000,CADILLAC,CT4,2021
2022027453,Angle,Montgomery,front quarter panel/side mirror,1GNKVGKDXHJA00000,CHEVROLET,Traverse,2017
2022027470,Hit fixed object,Montgomery,front quarter panel/side mirror,3FA6P0PU5ERA00000,FORD,Fusion,2014
2022027524,Rear-end,Chester,front quarter panel/side mirror,3FA6P0LUXJRA00000,FORD,Fusion,2018
2022027524,Rear-end,Chester,front quarter panel/side mirror,3FA6P0LUXJRA00000,ACURA,MDX,2012
2022027524,Rear-end,Chester,rear bumper/tail light,2HNYD2H25CHA00000,FORD,Fusion,2018
2022027524,Rear-end,Chester,rear bumper/tail light,2HNYD2H25CHA00000,ACURA,MDX,2012
2022027586,Hit fixed object,Philadelphia,front quarter panel/side mirror,JN1FV7AR0JMA00000,INFINITI,Q50,2018
2022027632,Angle,Chester,front bumper,3GYFNGE36CSA00000,CADILLAC,SRX,2012
2022027639,Angle,Philadelphia,rear bumper/tail light,1FAHP2EW0CGA00000,FORD,Taurus,2012
2022027639,Angle,Philadelphia,rear bumper/tail light,1FAHP2EW0CGA00000,CHEVROLET,Impala,2016
2022027639,Angle,Philadelphia,front bumper/headlight,2G1115S36G9A00000,FORD,Taurus,2012
2022027639,Angle,Philadelphia,front bumper/headlight,2G1115S36G9A00000,CHEVROLET,Impala,2016
2022027661,Rear-end,Philadelphia,rear bumper,19XFC1F35HEA00000,HONDA,Civic,2017
2022027661,Rear-end,Philadelphia,rear bumper,19XFC1F35HEA00000,HYUNDAI,Elantra,2019
2022027661,Rear-end,Philadelphia,rear bumper,5NPD74LF5KHA00000,HONDA,Civic,2017
2022027661,Rear-end,Philadelphia,rear bumper,5NPD74LF5KHA00000,HYUNDAI,Elantra,2019
2022027732,Hit fixed object,Delaware,front bumper,KM8JUCAC2DUA00000,HYUNDAI,Tucson,2013
2022027743,Rear-end,Montgomery,rear bumper,JTMDFREV9FDA00000,TOYOTA,RAV4,2015
2022027743,Rear-end,Montgomery,rear bumper,JTMDFREV9FDA00000,SUBARU,Forester,2010
2022027743,Rear-end,Montgomery,rear bumper,JF2SH6BC4AHA00000,TOYOTA,RAV4,2015
2022027743,Rear-end,Montgomery,rear bumper,JF2SH6BC4AHA00000,SUBARU,Forester,2010
2022027761,Rear-end,Delaware,rear bumper,JTENU5JR4M5A00000,TOYOTA,4-Runner,2021
2022027761,Rear-end,Delaware,rear bumper,JTENU5JR4M5A00000,LINCOLN,Navigator L,2019
2022027761,Rear-end,Delaware,rear bumper,5LMJJ3LT0KEA00000,TOYOTA,4-Runner,2021
2022027761,Rear-end,Delaware,rear bumper,5LMJJ3LT0KEA00000,LINCOLN,Navigator L,2019
2022027828,Rear-end,Montgomery,front bumper,KNAFX4A64G5A00000,KIA,Forte,2016
2022027829,Rear-end,Montgomery,rear bumper/tail light,5NPD84LF0LHA00000,HYUNDAI,Elantra,2020
2022027950,Rear-end,Montgomery,rear bumper,1N4AL3APXGNA00000,NISSAN,Altima,2016
2022027951,Sideswipe (same dir.),Montgomery,front quarter panel/side mirror,1VWBT7A34FCA00000,VOLKSWAGEN,Passat,2015
2022028048,Angle,Montgomery,front bumper/headlight,3KPF24AD4LEA00000,KIA,Forte,2020
2022028105,Angle,Delaware,front bumper/headlight,5TFCZ5AN7HXA00000,TOYOTA,Tacoma,2017
2022028111,Rear-end,Montgomery,rear bumper,3GCUKREC6JGA00000,CHEVROLET,Silverado,2018
2022028183,Angle,Chester,front bumper/headlight,WAU43AFD2HNA00000,AUDI,A8,2017
2022028206,Rear-end,Montgomery,rear bumper,WBA5M4C5XEDA00000,BMW,535i,2014
2022028208,Angle,Montgomery,front quarter panel/side mirror,2C3CDXGJXJHA00000,DODGE,Charger,2018
2022028241,Sideswipe (Opposite dir.),Chester,front bumper/headlight,1G1PH5SB2D7A00000,CHEVROLET,Cruze,2013
2022028333,Sideswipe (same dir.),Delaware,rear bumper/tail light,1HGCR3F93GAA00000,HONDA,Accord,2016
2022028374,Rear-end,Chester,rear bumper,99999999999A00000,,,NA
2022028431,Sideswipe (same dir.),Chester,front bumper/headlight,2HGFA1F95AHA00000,HONDA,Civic,2010
2022028497,Angle,Delaware,front bumper,1G1ZB5ST8HFA00000,CHEVROLET,Malibu,2017
2022028501,Rear-end,Montgomery,rear bumper,2GKALSEK5F6A00000,GMC,Terrain,2015
2022028524,Rear-end,Delaware,rear bumper,4T4BF1FK1DRA00000,TOYOTA,Camry,2013
2022028576,Rear-end,Montgomery,rear bumper,1G6DS5ED5B0A00000,CADILLAC,CTS,2011
2022028632,Rear-end,Philadelphia,front bumper,2T1BURHE8FCA00000,TOYOTA,Corolla,2015
2022028682,Hit pedestrian,Delaware,front quarter panel/side mirror,WAUFGAFC5GNA00000,AUDI,A6,2016
2022028795,Rear-end,Montgomery,rear bumper,KNMAT2MV9JPA00000,NISSAN,Rogue,2018
2022028827,Angle,Montgomery,front bumper,3TMCZ5AN3LMA00000,TOYOTA,Tacoma,2020
2022028844,Angle,Montgomery,rear bumper/tail light,1HGCR2F70DAA00000,HONDA,Accord,2013
2022028930,Angle,Montgomery,front quarter panel/side mirror,KMHD04LB9JUA00000,HYUNDAI,Elantra,2018
2022028964,Hit fixed object,Chester,front bumper,1HGCV1F48MAA00000,HONDA,Accord,2021
2022029063,Sideswipe (same dir.),Delaware,front quarter panel/side mirror,1FADP3F24ELA00000,FORD,Focus,2014
2022029063,Sideswipe (same dir.),Delaware,front quarter panel/side mirror,1FADP3F24ELA00000,FORD,Fusion,2015
2022029063,Sideswipe (same dir.),Delaware,rear bumper/tail light,3FA6P0G79FRA00000,FORD,Focus,2014
2022029063,Sideswipe (same dir.),Delaware,rear bumper/tail light,3FA6P0G79FRA00000,FORD,Fusion,2015
2022029075,Angle,Delaware,front quarter panel/side mirror,4T1BF1FK0HUA00000,TOYOTA,Camry,2017
2022029086,Rear-end,Delaware,rear bumper,3FA6P0HD4LRA00000,FORD,Fusion,2020
2022029093,Sideswipe (same dir.),Montgomery,rear bumper/tail light,LYV402HK0HBA00000,VOLVO,S60,2017
2022029095,Angle,Montgomery,front bumper,3VWY47AU6FMA00000,VOLKSWAGEN,GTI,2015
2022029114,Sideswipe (same dir.),Montgomery,rear bumper/tail light,1G1PC5SB5D7A00000,CHEVROLET,Cruze,2013
2022029137,Angle,Montgomery,rear bumper/tail light,1C4RJFAG7KCA00000,JEEP,Grand Cherokee,2019
2022029137,Angle,Montgomery,rear bumper/tail light,1C4RJFAG7KCA00000,FORD,Taurus,2017
2022029137,Angle,Montgomery,front bumper/headlight,1FAHP2E84HGA00000,JEEP,Grand Cherokee,2019
2022029137,Angle,Montgomery,front bumper/headlight,1FAHP2E84HGA00000,FORD,Taurus,2017
2022029150,Rear-end,Chester,rear bumper,1G1AB5F50A7A00000,CHEVROLET,Cobalt,2010
2022029156,Sideswipe (same dir.),Philadelphia,front quarter panel/side mirror,ML32F4FJ4LHA00000,MITSUBISHI,Mirage G4,2020
2022029164,Rear-end,Delaware,rear bumper,5FNRL3H9XABA00000,HONDA,Odyssey,2010
2022029174,Rear-end,Philadelphia,rear bumper,1HGCP2F37CAA00000,HONDA,Accord,2012
2022029174,Rear-end,Philadelphia,rear bumper,1HGCP2F37CAA00000,DODGE,Charger,2014
2022029174,Rear-end,Philadelphia,rear bumper,2C3CDXBG1EHA00000,HONDA,Accord,2012
2022029174,Rear-end,Philadelphia,rear bumper,2C3CDXBG1EHA00000,DODGE,Charger,2014
2022029175,Head-on,Philadelphia,front quarter panel/side mirror,3FA6P0SU9KRA00000,FORD,Fusion,2019
2022029179,Hit pedestrian,Philadelphia,front bumper/headlight,JTHBW1GG4E2A00000,LEXUS,ES,2014
2022029198,Rear-end,Philadelphia,rear bumper,YV4102WK0M1A00000,VOLVO,V60CC,2021
2022029199,Angle,Philadelphia,front bumper,19XFB2F51EEA00000,HONDA,Civic,2014
2022029201,Angle,Philadelphia,front bumper/headlight,1C3CCCAB4GNA00000,CHRYSLER,200,2016
2022029204,Angle,Philadelphia,front quarter panel/side mirror,4T1BF1FK2GUA00000,TOYOTA,Camry,2016
2022029207,Rear-end,Philadelphia,rear bumper,4T1BF1FK9CUA00000,TOYOTA,Camry,2012
2022029208,Sideswipe (same dir.),Philadelphia,rear bumper/tail light,KNAFX4A63G5A00000,KIA,Forte,2016
2022029210,Hit pedestrian,Philadelphia,front bumper,1HGCR2F32FAA00000,HONDA,Accord,2015
2022029212,Head-on,Philadelphia,front bumper/headlight,KNDJP3A54F7A00000,KIA,Soul,2015
2022029212,Head-on,Philadelphia,front bumper/headlight,KNDJP3A54F7A00000,TOYOTA,RAV4,2013
2022029212,Head-on,Philadelphia,front bumper/headlight,2T3BFREV4DWA00000,KIA,Soul,2015
2022029212,Head-on,Philadelphia,front bumper/headlight,2T3BFREV4DWA00000,TOYOTA,RAV4,2013
2022029223,Angle,Philadelphia,front bumper,5XXGM4A70DGA00000,KIA,Optima,2013
2022029226,Angle,Philadelphia,front bumper,1G1PC5SB9E7A00000,CHEVROLET,Cruze,2014
2022029241,Angle,Philadelphia,front bumper,1N4AL2AP7CCA00000,NISSAN,Altima,2012
2022029242,Rear-end,Philadelphia,rear bumper,1FAHP2EW5AGA00000,FORD,Taurus,2010
2022029243,Sideswipe (same dir.),Philadelphia,front bumper,4T1BF3EK4BUA00000,TOYOTA,Camry,2011
2022029253,Angle,Philadelphia,front bumper/headlight,3N1AB7AP6KYA00000,NISSAN,Sentra,2019
2022029257,Angle,Philadelphia,rear bumper,KM8K5CA58LUA00000,HYUNDAI,Kona,2020
2022029279,Rear-end,Philadelphia,rear bumper,1C3CCCAB9GNA00000,CHRYSLER,200,2016
2022029279,Rear-end,Philadelphia,rear bumper,1C3CCCAB9GNA00000,TOYOTA,Camry,2019
2022029279,Rear-end,Philadelphia,rear bumper,4T1B11HK5KUA00000,CHRYSLER,200,2016
2022029279,Rear-end,Philadelphia,rear bumper,4T1B11HK5KUA00000,TOYOTA,Camry,2019
2022029288,Sideswipe (Opposite dir.),Philadelphia,front quarter panel/side mirror,1HGCV3F59LAA00000,HONDA,Accord,2020
2022029312,Angle,Chester,front bumper/headlight,KMHDH4AEXCUA00000,HYUNDAI,Elantra,2012
2022029312,Angle,Chester,front bumper/headlight,KMHDH4AEXCUA00000,HONDA,HR-V,2018
2022029312,Angle,Chester,front bumper/headlight,3CZRU5H5XJGA00000,HYUNDAI,Elantra,2012
2022029312,Angle,Chester,front bumper/headlight,3CZRU5H5XJGA00000,HONDA,HR-V,2018
2022029316,Rear-end,Delaware,rear bumper,4S3BNAB65K3A00000,SUBARU,Legacy,2019
2022029323,Rear-end,Delaware,rear bumper,5TDZARFH7GSA00000,TOYOTA,Highlander,2016
2022029325,Rear-end,Montgomery,rear bumper,1HGCP2F49CAA00000,HONDA,Accord,2012
2022029333,Angle,Delaware,front bumper/headlight,3LN6L5A97HRA00000,LINCOLN,MKZ,2017
2022029345,Rear-end,Chester,rear bumper,SALRR2RV3JAA00000,LAND ROVER,Discovery,2018
2022029446,Angle,Philadelphia,front bumper/headlight,1N4AA6EV9MCA00000,NISSAN,Maxima,2021
2022029446,Angle,Philadelphia,front bumper/headlight,1N4AA6EV9MCA00000,NISSAN,Altima,2018
2022029446,Angle,Philadelphia,front bumper/headlight,1N4AL3AP0JCA00000,NISSAN,Maxima,2021
2022029446,Angle,Philadelphia,front bumper/headlight,1N4AL3AP0JCA00000,NISSAN,Altima,2018
2022029481,Rear-end,Philadelphia,rear bumper/tail light,3N1AB7AP7KYA00000,NISSAN,Sentra,2019
2022029505,Rear-end,Delaware,front bumper,1HGCR2F52GAA00000,HONDA,Accord,2016
2022029505,Rear-end,Delaware,front bumper,1HGCR2F52GAA00000,HONDA,Accord,2010
2022029505,Rear-end,Delaware,rear bumper,1HGCP3F8XAAA00000,HONDA,Accord,2016
2022029505,Rear-end,Delaware,rear bumper,1HGCP3F8XAAA00000,HONDA,Accord,2010
2022029545,Sideswipe (same dir.),Delaware,rear bumper/tail light,JHMFC1F76JXA00000,HONDA,Civic,2018
2022029640,Angle,Montgomery,rear bumper/tail light,3FAHP0JA1CRA00000,FORD,Fusion,2012
2022029660,Rear-end,Delaware,rear bumper,WDDSJ4GB3JNA00000,MERCEDES-BENZ,CLA-Class,2018
2022029691,Angle,Philadelphia,front bumper,2C4RDGBG3ERA00000,DODGE,Grand Caravan,2014
2022029692,Angle,Delaware,front bumper,2C3CCABT0DHA00000,CHRYSLER,300,2013
2022029695,Hit pedestrian,Philadelphia,front bumper/headlight,1G1PF5S97B7A00000,CHEVROLET,Cruze,2011
2022029755,Angle,Philadelphia,front bumper,4T1BK3DB5BUA00000,TOYOTA,Avalon,2011
2022029771,Angle,Philadelphia,front bumper/headlight,2G1WB5E36E1A00000,CHEVROLET,Impala,2014
2022029777,Head-on,Philadelphia,front bumper,2T1BURHE7JCA00000,TOYOTA,Corolla,2018
2022029819,Sideswipe (same dir.),Montgomery,rear bumper/tail light,3GNCJNSBXGLA00000,CHEVROLET,Trax,2016
2022029830,Hit fixed object,Chester,front quarter panel/side mirror,JM1DKFB74M1A00000,MAZDA,CX-3,2021
2022029847,Rear-end,Philadelphia,rear bumper,2T1BU4EEXACA00000,TOYOTA,Corolla,2010
2022029859,Head-on,Philadelphia,front bumper,2T3P1RFV7LWA00000,TOYOTA,RAV4,2020
2022029869,Angle,Philadelphia,front quarter panel/side mirror,99999999999A00000,,,NA
2022029940,Sideswipe (same dir.),Philadelphia,front bumper/headlight,1G1PC5SB3F7A00000,CHEVROLET,Cruze,2015
2022030004,Rear-end,Montgomery,rear bumper/tail light,W1KZF8EB7MAA00000,MERCEDES-BENZ,E-Class,2021
2022030010,Angle,Philadelphia,front bumper,3MYDLBJV9LYA00000,TOYOTA,Yaris,2020
2022030012,Rear-end,Philadelphia,rear bumper,WAUU2AF27LNA00000,AUDI,A7,2020
2022030039,Sideswipe (same dir.),Montgomery,rear bumper/tail light,2T3BF4DV5BWA00000,TOYOTA,RAV4,2011
2022030048,Backing,Philadelphia,front bumper,1FAHP2E85GGA00000,FORD,Taurus,2016
2022030048,Backing,Philadelphia,front bumper,1FAHP2E85GGA00000,CHEVROLET,Sonic,2017
2022030048,Backing,Philadelphia,front bumper/headlight,1G1JD6SB3H4A00000,FORD,Taurus,2016
2022030048,Backing,Philadelphia,front bumper/headlight,1G1JD6SB3H4A00000,CHEVROLET,Sonic,2017
2022030065,Angle,Montgomery,front bumper,JN8AS5MV5AWA00000,NISSAN,Rogue,2010
2022030068,Angle,Philadelphia,front bumper,1G1ZD5ST5JFA00000,CHEVROLET,Malibu,2018
2022030077,Rear-end,Delaware,front bumper,2C3CCAAG5EHA00000,CHRYSLER,300,2014
2022030077,Rear-end,Delaware,front bumper,2C3CCAAG5EHA00000,DODGE,Dart,2015
2022030077,Rear-end,Delaware,rear bumper,1C3CDFBB0FDA00000,CHRYSLER,300,2014
2022030077,Rear-end,Delaware,rear bumper,1C3CDFBB0FDA00000,DODGE,Dart,2015
2022030166,Rear-end,Montgomery,rear bumper,1G11C5SA0DFA00000,CHEVROLET,Malibu,2013
2022030289,Angle,Delaware,front bumper,JTJJM7FX5E5A00000,LEXUS,GX,2014
2022030292,Sideswipe (Opposite dir.),Delaware,front quarter panel/side mirror,KMHC75LC5LUA00000,HYUNDAI,Ioniq,2020
2022030294,Angle,Philadelphia,front bumper/headlight,JTNB11HK5J3A00000,TOYOTA,Camry,2018
2022030305,Angle,Delaware,front bumper,3VWC57BU7LMA00000,VOLKSWAGEN,Jetta,2020
2022030322,Sideswipe (same dir.),Montgomery,rear bumper,3N1AB7AP0HLA00000,NISSAN,Sentra,2017
2022030326,Angle,Philadelphia,front bumper,1FAHP3E20CLA00000,FORD,Focus,2012
2022030337,Angle,Philadelphia,rear bumper,4T1BF1FKXFUA00000,TOYOTA,Camry,2015
2022030338,Rear-end,Philadelphia,rear bumper,2C3CDZGGXKHA00000,DODGE,Challenger,2019
2022030373,Rear-end,Philadelphia,front bumper,5NPD74LF1KHA00000,HYUNDAI,Elantra,2019
2022030400,Angle,Delaware,front bumper/headlight,19UUB2F57GAA00000,ACURA,TLX,2016
2022030582,Rear-end,Delaware,rear bumper/tail light,2C3CDXL94JHA00000,DODGE,Charger,2018
2022030617,Head-on,Montgomery,front bumper,KMHC85LC8LUA00000,HYUNDAI,Ioniq,2020
2022030639,Angle,Montgomery,front bumper/headlight,1FTEW1C55LFA00000,FORD,F-150,2020
2022030654,Sideswipe (same dir.),Philadelphia,front quarter panel/side mirror,55SWF4KB6HUA00000,MERCEDES-BENZ,C-Class,2017
2022030663,Hit pedestrian,Montgomery,front quarter panel/side mirror,1C4HJXFN3LWA00000,JEEP,Wrangler,2020
2022030745,Head-on,Philadelphia,front bumper/headlight,2C3CDZAG4HHA00000,DODGE,Challenger,2017
2022030746,Angle,Philadelphia,rear bumper/tail light,1C4HJXDG7JWA00000,JEEP,Wrangler,2018
2022030796,Angle,Philadelphia,rear bumper/tail light,1HGCR2F85FAA00000,HONDA,Accord,2015
2022030804,Sideswipe (same dir.),Philadelphia,rear bumper,2T1BURHE3JCA00000,TOYOTA,Corolla,2018
2022030856,Angle,Delaware,rear bumper,5GAKRCED7CJA00000,BUICK,Enclave,2012
2022030863,Angle,Chester,front quarter panel/side mirror,3LNHL2JC6ARA00000,LINCOLN,MKZ,2010
2022030868,Sideswipe (same dir.),Philadelphia,rear bumper,1G1ZB5E03CFA00000,CHEVROLET,Malibu,2012
2022030884,Head-on,Delaware,rear bumper,ZFBHRFABXM6A00000,RAM,Promaster City,2021
2022030941,Angle,Philadelphia,front bumper/headlight,4T1C11BK3MUA00000,TOYOTA,Camry,2021
2022030941,Angle,Philadelphia,front bumper/headlight,4T1C11BK3MUA00000,KIA,Forte,2017
2022030941,Angle,Philadelphia,front bumper,3KPFK4A76HEA00000,TOYOTA,Camry,2021
2022030941,Angle,Philadelphia,front bumper,3KPFK4A76HEA00000,KIA,Forte,2017
2022030955,Rear-end,Delaware,rear bumper,KNAFK5A84J5A00000,KIA,Forte,2018
2022030968,Angle,Philadelphia,front bumper,JF1GJAB69DHA00000,SUBARU,Impreza,2013
2022030975,Angle,Montgomery,front bumper/headlight,2HGFB2F59EHA00000,HONDA,Civic,2014
2022031057,Head-on,Philadelphia,front bumper/headlight,5TDBKRFH0FSA00000,TOYOTA,Highlander,2015
2022031057,Head-on,Philadelphia,front bumper/headlight,5TDBKRFH0FSA00000,GMC,Terrain,2013
2022031057,Head-on,Philadelphia,front bumper/headlight,5TDBKRFH0FSA00000,JEEP,Compass,2012
2022031057,Head-on,Philadelphia,front bumper,2GKFLTEK9D6A00000,TOYOTA,Highlander,2015
2022031057,Head-on,Philadelphia,front bumper,2GKFLTEK9D6A00000,GMC,Terrain,2013
2022031057,Head-on,Philadelphia,front bumper,2GKFLTEK9D6A00000,JEEP,Compass,2012
2022031057,Head-on,Philadelphia,rear bumper,1C4NJDEB9CDA00000,TOYOTA,Highlander,2015
2022031057,Head-on,Philadelphia,rear bumper,1C4NJDEB9CDA00000,GMC,Terrain,2013
2022031057,Head-on,Philadelphia,rear bumper,1C4NJDEB9CDA00000,JEEP,Compass,2012
2022031059,Angle,Philadelphia,front bumper,2C4RC1GG1JRA00000,CHRYSLER,Pacifica,2018
2022031072,Rear-end,Montgomery,front bumper,3GYFNBE35FSA00000,CADILLAC,SRX,2015
2022031072,Rear-end,Montgomery,front bumper,3GYFNBE35FSA00000,TOYOTA,Prius,2014
2022031072,Rear-end,Montgomery,rear bumper,JTDKN3DU3E1A00000,CADILLAC,SRX,2015
2022031072,Rear-end,Montgomery,rear bumper,JTDKN3DU3E1A00000,TOYOTA,Prius,2014
2022031076,Angle,Montgomery,rear bumper/tail light,WBXHT3C30G5A00000,BMW,X1,2016
2022031076,Angle,Montgomery,rear bumper/tail light,WBXHT3C30G5A00000,HONDA,Civic,2013
2022031076,Angle,Montgomery,front bumper,2HGFG3B5XDHA00000,BMW,X1,2016
2022031076,Angle,Montgomery,front bumper,2HGFG3B5XDHA00000,HONDA,Civic,2013
2022031094,Rear-end,Montgomery,rear bumper,4T1B11HK1JUA00000,TOYOTA,Camry,2018
2022031094,Rear-end,Montgomery,rear bumper,4T1B11HK1JUA00000,VOLKSWAGEN,Jetta,2017
2022031094,Rear-end,Montgomery,rear bumper,4T1B11HK1JUA00000,BUICK,Encore,2015
2022031094,Rear-end,Montgomery,front bumper,3VW2B7AJ4HMA00000,TOYOTA,Camry,2018
2022031094,Rear-end,Montgomery,front bumper,3VW2B7AJ4HMA00000,VOLKSWAGEN,Jetta,2017
2022031094,Rear-end,Montgomery,front bumper,3VW2B7AJ4HMA00000,BUICK,Encore,2015
2022031094,Rear-end,Montgomery,rear bumper,KL4CJGSB2FBA00000,TOYOTA,Camry,2018
2022031094,Rear-end,Montgomery,rear bumper,KL4CJGSB2FBA00000,VOLKSWAGEN,Jetta,2017
2022031094,Rear-end,Montgomery,rear bumper,KL4CJGSB2FBA00000,BUICK,Encore,2015
2022031248,Angle,Montgomery,front bumper,JN1EV7AR5HMA00000,INFINITI,Q50,2017
2022031327,Angle,Delaware,front bumper/headlight,4T1A21FB5LUA00000,TOYOTA,Avalon,2020
2022031331,Angle,Philadelphia,front bumper/headlight,WDDHF8JB2EAA00000,MERCEDES-BENZ,E-Class,2014
2022031373,Rear-end,Montgomery,rear bumper,JTDZN3EUXC3A00000,TOYOTA,Prius V,2012
2022031376,Rear-end,Delaware,rear bumper,3GNAL3EK7ESA00000,CHEVROLET,Captiva Sport,2014
2022031441,Hit pedestrian,Philadelphia,front bumper,5FNRL6H54MBA00000,HONDA,Odyssey,2021
2022031442,Angle,Philadelphia,front bumper,1N6AA1ED9MNA00000,NISSAN,Titan,2021
2022031464,Hit fixed object,Delaware,rear bumper/tail light,3KPFK4A77HEA00000,KIA,Forte,2017
2022031474,Angle,Montgomery,front bumper/headlight,5NPDH4AE7CHA00000,HYUNDAI,Elantra,2012
2022031478,Head-on,Delaware,front bumper,4T1G11AK7MUA00000,TOYOTA,Camry,2021
2022031485,Rear-end,Montgomery,rear bumper,1FTEW1EP8GFA00000,FORD,F-150,2016
2022031499,Hit fixed object,Chester,front bumper,2HGFA1F34AHA00000,HONDA,Civic,2010
2022031641,Rear-end,Chester,rear bumper,1HGCR2F98GAA00000,HONDA,Accord,2016
2022031877,Rear-end,Chester,rear bumper,19XFB2F58FEA00000,HONDA,Civic,2015
2022031952,Angle,Montgomery,front bumper,1HGCP3F89BAA00000,HONDA,Accord,2011
2022031956,Rear-end,Montgomery,rear bumper,JM1GJ1U58G1A00000,MAZDA,Mazda6,2016
2022031967,Angle,Montgomery,front bumper/headlight,19XFB2F5XCEA00000,HONDA,Civic,2012
2022031985,Rear-end,Chester,rear bumper/tail light,99999999999A00000,,,NA
2022031985,Rear-end,Chester,rear bumper/tail light,99999999999A00000,INFINITI,G37,2013
2022031985,Rear-end,Chester,front bumper/headlight,JN1CV6AR5DMA00000,,,NA
2022031985,Rear-end,Chester,front bumper/headlight,JN1CV6AR5DMA00000,INFINITI,G37,2013
2022031992,Rear-end,Philadelphia,rear bumper,1HGCR2F57GAA00000,HONDA,Accord,2016
2022032068,Angle,Montgomery,front bumper/headlight,JTHC5LFF0J5A00000,LEXUS,LS,2018
2022032153,Angle,Montgomery,front bumper/headlight,WAUR4AF55MAA00000,AUDI,S5,2021
2022032153,Angle,Montgomery,front bumper/headlight,WAUR4AF55MAA00000,MERCEDES-BENZ,C-Class,2014
2022032153,Angle,Montgomery,front bumper/headlight,WDDGF8AB5EGA00000,AUDI,S5,2021
2022032153,Angle,Montgomery,front bumper/headlight,WDDGF8AB5EGA00000,MERCEDES-BENZ,C-Class,2014
2022032155,Sideswipe (Opposite dir.),Montgomery,rear bumper/tail light,JTHCF1D24E5A00000,LEXUS,IS,2014
2022032181,Head-on,Delaware,front bumper/headlight,5NPD84LF9JHA00000,HYUNDAI,Elantra,2018
2022032215,Angle,Delaware,front bumper/headlight,4S3BWAN67N3A00000,SUBARU,Legacy,2022
2022032239,Rear-end,Delaware,rear bumper,3TMLU4EN4BMA00000,TOYOTA,Tacoma,2011
2022032239,Rear-end,Delaware,rear bumper,3TMLU4EN4BMA00000,JEEP,Compass,2014
2022032239,Rear-end,Delaware,front bumper,1C4NJDEB6EDA00000,TOYOTA,Tacoma,2011
