CRN,COLLISION_TYPE,COUNTY,IMPACT_POINT_NAME,FULL_VIN,Make,Model,ModelYear
2022003747,Rear-end,Delaware,rear bumper,KMHCU5AE6DUA00000,HYUNDAI,Accent,2013
2022003787,Sideswipe (same dir.),Delaware,front bumper/headlight,19UUB1F39GAA00000,ACURA,TLX,2016
2022003956,Rear-end,Philadelphia,rear bumper/tail light,19XFC2F77GEA00000,HONDA,Civic,2016
2022003977,Sideswipe (same dir.),Philadelphia,front quarter panel/side mirror,1HGCP2F48BAA00000,HONDA,Accord,2011
2022003993,Angle,Delaware,front bumper/headlight,KM8J3CA23HUA00000,HYUNDAI,Tucson,2017
2022004006,Rear-end,Delaware,front bumper,3LN6L2J96FRA00000,LINCOLN,MKZ,2015
2022004119,Angle,Montgomery,front quarter panel/side mirror,1J4PN2GK2AWA00000,JEEP,Liberty,2010
2022004142,Angle,Philadelphia,front bumper/headlight,1HGCV2F35MAA00000,HONDA,Accord,2021
2022004152,Rear-end,Philadelphia,front bumper,4T1B11HKXJUA00000,TOYOTA,Camry,2018
2022004164,Rear-end,Philadelphia,rear bumper,JTDEPRAE2LJA00000,TOYOTA,Corolla,2020
2022004164,Rear-end,Philadelphia,rear bumper,JTDEPRAE2LJA00000,VOLKSWAGEN,Passat,2015
2022004164,Rear-end,Philadelphia,rear bumper/tail light,1VWBV7A35FCA00000,TOYOTA,Corolla,2020
2022004164,Rear-end,Philadelphia,rear bumper/tail light,1VWBV7A35FCA00000,VOLKSWAGEN,Passat,2015
2022004170,Rear-end,Philadelphia,rear bumper,JTMRFREV2FDA00000,TOYOTA,RAV4,2015
2022004170,Rear-end,Philadelphia,rear bumper,JTMRFREV2FDA00000,KIA,Optima,2011
2022004170,Rear-end,Philadelphia,front bumper,KNAGN4A73B5A00000,TOYOTA,RAV4,2015
2022004170,Rear-end,Philadelphia,front bumper,KNAGN4A73B5A00000,KIA,Optima,2011
2022004181,Sideswipe (same dir.),Philadelphia,front quarter panel/side mirror,JM1DE1KY5E0A00000,MAZDA,Mazda2,2014
2022004184,Sideswipe (same dir.),Philadelphia,rear bumper,2C3CDXJG2JHA00000,DODGE,Charger,2018
2022004191,Angle,Philadelphia,front bumper,2HGFA1F52BHA00000,HONDA,Civic,2011
2022004199,Rear-end,Philadelphia,rear bumper,KMHCT4AE4HUA00000,HYUNDAI,Accent,2017
2022004199,Rear-end,Philadelphia,rear bumper,KMHCT4AE4HUA00000,HYUNDAI,Veloster,2012
2022004199,Rear-end,Philadelphia,front bumper,KMHTC6AD1CUA00000,HYUNDAI,Accent,2017
2022004199,Rear-end,Philadelphia,front bumper,KMHTC6AD1CUA00000,HYUNDAI,Veloster,2012
2022004202,Rear-end,Philadelphia,front bumper,3FADP4BJ5GMA00000,FORD,Fiesta,2016
2022004202,Rear-end,Philadelphia,front bumper,3FADP4BJ5GMA00000,TOYOTA,Camry,2014
2022004202,Rear-end,Philadelphia,rear bumper,4T1BD1FK3EUA00000,FORD,Fiesta,2016
2022004202,Rear-end,Philadelphia,rear bumper,4T1BD1FK3EUA00000,TOYOTA,Camry,2014
2022004206,Angle,Philadelphia,front bumper/headlight,4T1BK1EB9HUA00000,TOYOTA,Avalon,2017
2022004213,Hit fixed object,Philadelphia,front quarter panel/side mirror,5NPE34AF3JHA00000,HYUNDAI,Sonata,2018
2022004227,Sideswipe (Opposite dir.),Philadelphia,front bumper/headlight,1N4AL2AP6CNA00000,NISSAN,Altima,2012
2022004235,Rear-end,Philadelphia,front bumper,KNAGM4A74F5A00000,KIA,Optima,2015
2022004236,Rear-end,Philadelphia,rear bumper,1FA6P0HD1F5A00000,FORD,Fusion,2015
2022004236,Rear-end,Philadelphia,rear bumper,1FA6P0HD1F5A00000,HYUNDAI,Elantra,2017
2022004236,Rear-end,Philadelphia,front bumper,5NPD84LF1HHA00000,FORD,Fusion,2015
2022004236,Rear-end,Philadelphia,front bumper,5NPD84LF1HHA00000,HYUNDAI,Elantra,2017
2022004243,Angle,Philadelphia,rear bumper/tail light,2C3CDXGJ8GHA00000,DODGE,Charger,2016
2022004269,Angle,Philadelphia,rear bumper,2T1BU4EEXCCA00000,TOYOTA,Corolla,2012
